LIC	   8.710	1.000	P	  59.881	318.13	YN	BHZ	Pg
LIC	  17.480	0.500	S	  59.881	318.13	YN	BHE	Sg
ZHY	  15.030	1.000	P	  87.528	 48.45	YN	BHZ	Pg
YUX	  18.780	1.000	P	 111.087	343.34	YN	BHZ	Pg
LAC	  20.050	1.000	P	 116.889	208.40	YN	BHZ	Pg
LAC	  34.980	0.500	S	 116.889	208.40	YN	BHN	Sg
CAY	  20.920	1.000	P	 128.638	253.06	YN	BHZ	Pg
CAY	  35.630	0.500	S	 128.638	253.06	YN	BHE	Sg
YOD	  23.590	1.000	P	 138.477	296.85	YN	BHZ	Pg
YOD	  40.180	0.500	S	 138.477	296.85	YN	BHN	Sg
#	2014	10	7	21	55	 6.700	 23.429	100.458	 7.0	3.5	0	0	0	1421431	ÔÆÄÏ¾°¹È
JIG	   4.780	1.000	P	  29.403	 73.94	YN	BHZ	Pg
JIG	   8.590	0.500	S	  29.403	 73.94	YN	BHN	Sg
LIC	  10.430	1.000	P	  63.787	321.67	YN	BHZ	Pg
LIC	  18.170	0.500	S	  63.787	321.67	YN	BHE	Sg
ZHY	  16.290	1.000	P	  91.526	 46.06	YN	BHZ	Pg
SIM	  15.330	1.000	P	  92.263	141.84	YN	BHZ	Pg
SIM	  26.700	0.500	S	  92.263	141.84	YN	BHE	Sg
YUX	  20.300	1.000	P	 116.207	344.31	YN	BHZ	Pg
CAY	  21.930	1.000	P	 126.763	255.37	YN	BHZ	Pg
CAY	  36.450	0.500	S	 126.763	255.37	YN	BHE	Sg
YOD	  25.260	1.000	P	 140.664	298.90	YN	BHZ	Pg
#	2014	10	7	21	55	57.200	 23.446	100.458	 3.0	3.1	0	0	0	1421432	ÔÆÄÏ¾°¹È
JIG	   4.460	1.000	P	  28.938	 77.54	YN	BHZ	Pg
JIG	   8.420	0.500	S	  28.938	 77.54	YN	BHN	Sg
LIC	   9.360	1.000	P	  62.315	320.59	YN	BHZ	Pg
LIC	  16.750	0.500	S	  62.315	320.59	YN	BHN	Sg
ZHY	  15.220	1.000	P	  90.225	 46.93	YN	BHZ	Pg
SIM	  16.020	1.000	P	  93.757	142.55	YN	BHZ	Pg
LAC	  19.610	1.000	P	 113.573	209.07	YN	BHZ	Pg
YUX	  19.150	1.000	P	 114.388	344.05	YN	BHZ	Pg
YUX	  33.790	0.500	S	 114.388	344.05	YN	BHE	Sg
CAY	  21.020	1.000	P	 127.254	254.54	YN	BHZ	Pg
CAY	  35.500	0.500	S	 127.254	254.54	YN	BHN	Sg
YOD	  23.690	1.000	P	 139.761	298.22	YN	BHZ	Pg
YOD	  41.020	0.500	S	 139.761	298.22	YN	BHN	Sg
MEL	  25.630	1.000	P	 152.698	216.28	YN	BHZ	Pg
#	2014	10	7	21	57	 2.500	 23.356	100.641	10.0	2.9	0	0	0	1421433	ÔÆÄÏ¾°¹È
JIG	   2.540	1.000	P	  18.851	 30.60	YN	BHZ	Pg
JIG	   6.500	0.500	S	  18.851	 30.60	YN	BHN	Sg
SIM	  13.210	1.000	P	  74.975	149.33	YN	BHZ	Pg
YUX	  22.660	1.000	P	 130.026	337.40	YN	BHZ	Pg
CAY	  24.040	1.000	P	 143.342	260.47	YN	BHZ	Pg
YOD	  46.180	0.500	S	 160.948	298.29	YN	BHE	Sg
#	2014	10	7	21	58	 9.800	 23.486	100.455	 5.0	2.6	0	0	0	1421434	ÔÆÄÏ¾°¹È
JIG	   4.210	1.000	P	  28.618	 86.40	YN	BHZ	Pg
JIG	   8.270	0.500	S	  28.618	 86.40	YN	BHN	Sg
LIC	   9.840	1.000	P	  58.742	318.06	YN	BHZ	Pg
ZHY	  15.240	1.000	P	  87.479	 49.19	YN	BHZ	Pg
CAY	  21.340	1.000	P	 128.219	252.59	YN	BHZ	Pg
#	2014	10	7	21	58	53.100	 23.404	100.448	 6.0	3.1	0	0	0	1421435	ÔÆÄÏ¾°¹È
JIG	   4.870	1.000	P	  31.244	 69.55	YN	BHZ	Pg
LIC	  10.610	1.000	P	  65.384	323.88	YN	BHZ	Pg
LIC	  18.330	0.500	S	  65.384	323.88	YN	BHN	Sg
SIM	  15.400	1.000	P	  90.743	140.25	YN	BHZ	Pg
SIM	  25.990	0.500	S	  90.743	140.25	YN	BHN	Sg
ZHY	  16.110	1.000	P	  94.199	 45.27	YN	BHZ	Pg
ZHY	  27.180	0.500	S	  94.199	 45.27	YN	BHE	Sg
LAC	  19.770	1.000	P	 109.004	209.79	YN	BHZ	Pg
LAC	  31.100	0.500	S	 109.004	209.79	YN	BHE	Sg
YUX	  20.400	1.000	P	 118.620	345.14	YN	BHZ	Pg
CAY	  21.730	1.000	P	 125.097	256.48	YN	BHZ	Pg
CAY	  36.110	0.500	S	 125.097	256.48	YN	BHN	Sg
YOD	  25.430	1.000	P	 141.145	300.09	YN	BHZ	Pg
YOD	  42.890	0.500	S	 141.145	300.09	YN	BHN	Sg
MEL	  25.490	1.000	P	 148.342	217.02	YN	BHZ	Pg
#	2014	10	7	22	0	56.200	 23.405	100.447	10.0	3.3	0	0	0	1421436	ÔÆÄÏ¾°¹È
JIG	   4.830	1.000	P	  31.302	 69.81	YN	BHZ	Pg
JIG	   8.660	0.500	S	  31.302	 69.81	YN	BHE	Sg
SIM	  27.150	0.500	S	  90.893	140.24	YN	BHN	Sg
ZHY	  16.450	1.000	P	  94.193	 45.36	YN	BHZ	Pg
ZHY	  28.030	0.500	S	  94.193	 45.36	YN	BHE	Sg
YUX	  33.630	0.500	S	 118.486	345.17	YN	BHE	Sg
CAY	  21.100	1.000	P	 125.024	256.41	YN	BHZ	Pg
CAY	  35.370	0.500	S	 125.024	256.41	YN	BHN	Sg
YOD	  23.620	1.000	P	 141.001	300.07	YN	BHZ	Pg
YOD	  41.500	0.500	S	 141.001	300.07	YN	BHE	Sg
#	2014	10	7	22	1	41.100	 23.446	100.465	 5.0	3.1	0	0	0	1421437	ÔÆÄÏ¾°¹È
JIG	   4.070	1.000	P	  28.241	 77.23	YN	BHZ	Pg
JIG	   7.730	0.500	S	  28.241	 77.23	YN	BHN	Sg
LIC	   9.770	1.000	P	  62.771	320.09	YN	BHZ	Pg
LIC	  17.570	0.500	S	  62.771	320.09	YN	BHE	Sg
ZHY	  15.080	1.000	P	  89.705	 46.62	YN	BHZ	Pg
SIM	  16.370	1.000	P	  93.324	142.91	YN	BHZ	Pg
LAC	  19.120	1.000	P	 113.921	209.39	YN	BHZ	Pg
YUX	  19.450	1.000	P	 114.586	343.71	YN	BHZ	Pg
CAY	  21.280	1.000	P	 127.942	254.63	YN	BHZ	Pg
CAY	  35.730	0.500	S	 127.942	254.63	YN	BHN	Sg
YOD	  41.940	0.500	S	 140.390	298.09	YN	BHN	Sg
#	2014	10	7	22	2	30.400	 23.420	100.472	 5.0	3.5	0	0	0	1421438	ÔÆÄÏ¾°¹È
JIG	   4.480	1.000	P	  28.340	 71.20	YN	BHZ	Pg
JIG	   8.160	0.500	S	  28.340	 71.20	YN	BHE	Sg
SIM	  15.400	1.000	P	  90.595	142.17	YN	BHZ	Pg
SIM	  26.110	0.500	S	  90.595	142.17	YN	BHN	Sg
ZHY	  15.280	1.000	P	  91.208	 44.99	YN	BHZ	Pg
ZHY	  26.690	0.500	S	  91.208	 44.99	YN	BHE	Sg
LAC	  18.870	1.000	P	 111.771	210.44	YN	BHZ	Pg
YUX	  19.350	1.000	P	 117.562	343.77	YN	BHZ	Pg
YUX	  33.960	0.500	S	 117.562	343.77	YN	BHN	Sg
CAY	  21.030	1.000	P	 127.899	255.97	YN	BHZ	Pg
CAY	  35.400	0.500	S	 127.899	255.97	YN	BHN	Sg
YOD	  23.850	1.000	P	 142.399	298.98	YN	BHZ	Pg
YOD	  41.630	0.500	S	 142.399	298.98	YN	BHE	Sg
MEL	  43.340	0.500	S	 151.240	217.37	YN	BHE	Sg
#	2014	10	7	22	3	 7.300	 23.378	100.504	 6.0	3.7	0	0	0	1421439	ÔÆÄÏ¾°¹È
JIG	   4.410	1.000	P	  27.307	 59.65	YN	BHZ	Pg
JIG	   8.260	0.500	S	  27.307	 59.65	YN	BHN	Sg
SIM	  14.780	1.000	P	  84.904	141.99	YN	BHZ	Pg
ZHY	  15.410	1.000	P	  92.372	 41.52	YN	BHZ	Pg
ZHY	  27.730	0.500	S	  92.372	 41.52	YN	BHE	Sg
LAC	  18.950	1.000	P	 109.523	213.16	YN	BHZ	Pg
YUX	  20.490	1.000	P	 122.972	342.93	YN	BHZ	Pg
YUX	  35.110	0.500	S	 122.972	342.93	YN	BHE	Sg
CAY	  35.810	0.500	S	 130.044	258.32	YN	BHE	Sg
